filename,latitude,longitude
1967-070-0018.ctd,48.765,-123.6417
1967-070-0019.ctd,48.75834,-123.615
1967-070-0020.ctd,48.75834,-123.6167
1967-070-0021.ctd,48.765,-123.6417
1967-070-0022.ctd,48.75834,-123.615
1967-070-0023.ctd,48.75834,-123.6167
1967-070-0024.ctd,48.765,-123.6417
1967-070-0025.ctd,48.75834,-123.615
1967-070-0026.ctd,48.74833,-123.6217
1967-070-0027.ctd,48.75834,-123.6167
1967-070-0028.ctd,48.765,-123.6417
1967-070-0029.ctd,48.75834,-123.615
1967-070-0030.ctd,48.74833,-123.6217
1967-070-0031.ctd,48.75834,-123.6167
1967-070-0032.ctd,48.76633,-123.6417
1967-070-0033.ctd,48.75834,-123.645
1967-070-0034.ctd,48.76,-123.6433
1967-070-0035.ctd,48.745,-123.615
1967-070-0036.ctd,48.0,-123.6083
1967-070-0037.ctd,48.755,-123.605
1967-070-0038.ctd,48.75834,-123.615
1967-070-0039.ctd,48.745,-123.615
1967-070-0040.ctd,48.0,-123.6083
1967-070-0041.ctd,48.755,-123.605
1967-070-0042.ctd,48.75834,-123.615
1967-070-0043.ctd,48.745,-123.615
1967-070-0044.ctd,48.0,-123.6083
1967-070-0045.ctd,48.755,-123.605
1967-070-0046.ctd,48.75834,-123.615
1967-070-0047.ctd,48.76633,-123.6417
1967-070-0048.ctd,48.75834,-123.645
1967-070-0049.ctd,48.76,-123.6433
1967-070-0050.ctd,48.745,-123.615
1967-070-0051.ctd,48.0,-123.6083
1967-070-0052.ctd,48.755,-123.605
1967-070-0053.ctd,48.75834,-123.615
1967-070-0054.ctd,48.76633,-123.6417
1967-070-0055.ctd,48.75834,-123.645
1967-070-0056.ctd,48.76,-123.6433
1968-005-0014.ctd,49.98333,-145.0333
1968-005-0016.ctd,50.03333,-145.0667
1968-005-0017.ctd,50.01667,-145.05
1968-005-0020.ctd,50.01667,-145.0
1968-005-0021.ctd,50.01667,-145.0
1968-005-0023.ctd,49.98333,-145.0333
1968-005-0026.ctd,50.0,-145.0167
1968-009-0002.ctd,48.63334,-126.0
1968-009-0003.ctd,48.7,-126.6667
1968-009-0005.ctd,48.76667,-127.6667
1968-009-0006.ctd,48.85,-128.6667
1968-009-0007.ctd,49.03333,-130.6667
1968-009-0008.ctd,49.16667,-132.6667
1968-009-0009.ctd,49.28333,-134.6667
1968-009-0010.ctd,49.43333,-136.6667
1968-009-0011.ctd,49.56667,-138.6667
1968-009-0012.ctd,49.81667,-142.6667
1968-009-0014.ctd,49.93333,-145.0167
1968-009-0016.ctd,49.91667,-144.9833
1968-009-0024.ctd,49.96667,-145.0
1968-009-0028.ctd,49.9,-145.05
1968-009-0030.ctd,49.03333,-130.6667
1968-009-0031.ctd,48.85,-128.65
1968-009-0033.ctd,48.55,-126.6667
1968-009-0034.ctd,48.35,-126.05
1968-009-0035.ctd,48.31667,-125.6833
1968-011-0004.ctd,49.95,-144.9167
1968-011-0006.ctd,50.01667,-145.1167
1969-001-0001.ctd,49.16667,-132.6667
1969-002-0002.ctd,48.63334,-126.0
1969-002-0003.ctd,48.7,-126.6667
1969-002-0004.ctd,48.78333,-127.6667
1969-002-0005.ctd,48.85,-128.6667
1969-002-0006.ctd,49.0,-130.6667
1969-002-0007.ctd,49.15,-132.6667
1969-002-0008.ctd,49.3,-134.6667
1969-002-0009.ctd,49.43333,-136.6667
1969-002-0010.ctd,49.56667,-138.6667
1969-002-0011.ctd,49.7,-140.6667
1969-002-0012.ctd,49.81667,-142.6667
1969-002-0013.ctd,50.0,-145.0
1969-002-0015.ctd,50.0,-145.0
1969-002-0028.ctd,50.0,-145.0
1969-002-0029.ctd,50.0,-145.0
1969-002-0030.ctd,50.0,-145.0
1969-002-0031.ctd,50.0,-145.0
1969-002-0032.ctd,50.0,-143.9
1969-002-0033.ctd,50.7,-143.8667
1969-002-0034.ctd,50.7,-145.0
1969-002-0035.ctd,50.7,-146.1333
1969-002-0036.ctd,50.0,-146.1
1969-002-0037.ctd,49.3,-146.0833
1969-002-0038.ctd,49.3,-145.0
1969-002-0039.ctd,49.3,-143.9167
1969-002-0040.ctd,50.0,-145.0
1969-002-0041.ctd,50.0,-145.0
1969-002-0042.ctd,50.0,-145.0
1969-002-0043.ctd,50.0,-145.0
1969-002-0044.ctd,50.0,-145.0
1969-002-0045.ctd,49.81667,-142.6667
1969-002-0046.ctd,49.56667,-138.6667
1969-002-0047.ctd,49.43333,-136.6667
1969-002-0048.ctd,49.3,-134.6667
1969-002-0049.ctd,49.0,-130.6667
1969-002-0050.ctd,48.85,-128.6667
1969-002-0051.ctd,48.78333,-127.6667
1969-002-0052.ctd,48.7,-126.6667
1969-002-0053.ctd,48.63334,-126.0
1969-004-0001.ctd,48.55,-125.5333
1969-004-0002.ctd,48.63334,-126.0
1969-004-0004.ctd,48.7,-126.6667
1969-004-0006.ctd,48.75,-127.65
1969-004-0008.ctd,48.85833,-128.7
1969-004-0009.ctd,49.78333,-142.6833
1969-004-0010.ctd,49.93333,-145.0833
1969-004-0011.ctd,50.0,-145.0
1969-004-0012.ctd,50.05,-144.8833
1969-004-0014.ctd,49.965,-145.0333
1969-004-0015.ctd,50.0,-144.95
1969-004-0016.ctd,50.05,-144.9833
1969-004-0018.ctd,49.96667,-145.0567
1969-004-0019.ctd,50.02833,-145.0167
1969-004-0020.ctd,50.0,-145.0
1969-004-0021.ctd,49.9,-145.0083
1969-004-0022.ctd,50.0,-145.0
1969-004-0023.ctd,49.98333,-145.0583
1969-004-0025.ctd,50.0,-145.0
1969-004-0026.ctd,50.01,-144.9667
1969-004-0027.ctd,49.99166,-145.0167
1969-004-0028.ctd,50.05833,-144.95
1969-004-0029.ctd,50.0,-145.0
1969-004-0030.ctd,49.88667,-145.1333
1969-004-0033.ctd,50.03333,-145.0667
1969-004-0038.ctd,50.0,-145.0
1969-004-0040.ctd,49.9,-145.0667
1969-004-0041.ctd,49.905,-145.0667
1969-004-0042.ctd,50.05833,-145.0667
1969-004-0043.ctd,49.97,-145.0667
1969-004-0044.ctd,50.0,-145.0
1969-004-0045.ctd,50.475,-145.7333
1969-004-0047.ctd,50.0,-146.025
1969-004-0048.ctd,49.53333,-145.7
1969-004-0051.ctd,49.33333,-145.0
1969-004-0052.ctd,49.50834,-144.2917
1969-004-0053.ctd,50.0,-143.975
1969-004-0054.ctd,50.475,-144.2667
1969-004-0055.ctd,50.66667,-145.0
1969-004-0056.ctd,50.475,-145.7333
1969-004-0057.ctd,50.00834,-144.9333
1969-004-0058.ctd,50.0,-145.0
1969-004-0060.ctd,50.11666,-145.1167
1969-004-0061.ctd,50.11666,-145.2
1969-004-0062.ctd,50.06667,-145.125
1969-004-0063.ctd,50.03333,-145.15
1969-004-0064.ctd,50.04167,-145.05
1969-004-0065.ctd,50.08833,-145.06
1969-004-0066.ctd,50.005,-145.0033
1969-004-0067.ctd,50.02333,-145.02
1969-004-0068.ctd,49.94167,-145.025
1969-004-0069.ctd,49.925,-145.075
1969-004-0070.ctd,49.95833,-145.1
1969-004-0071.ctd,50.0,-145.1167
1969-004-0072.ctd,50.03333,-145.0167
1969-004-0073.ctd,50.06667,-145.0267
1969-004-0074.ctd,50.06667,-144.9833
1969-004-0075.ctd,50.055,-144.9867
1969-004-0076.ctd,50.06667,-145.0
1969-004-0077.ctd,50.08333,-145.0
1969-004-0078.ctd,49.98333,-145.0
1969-004-0079.ctd,50.0,-145.05
1969-004-0080.ctd,49.96667,-145.05
1969-004-0081.ctd,49.955,-145.0533
1969-004-0082.ctd,49.95,-145.0633
1969-004-0083.ctd,49.98333,-145.075
1969-004-0084.ctd,49.93333,-145.1
1969-004-0085.ctd,50.0,-145.075
1969-004-0086.ctd,50.01667,-145.0667
1969-004-0087.ctd,50.03333,-145.1
1969-004-0088.ctd,50.03333,-145.0167
1969-004-0089.ctd,50.06,-145.0333
1969-004-0090.ctd,50.06333,-145.1
1969-004-0091.ctd,50.08667,-145.1317
1969-004-0093.ctd,50.06667,-145.0167
1969-004-0094.ctd,50.03333,-145.0417
1969-004-0095.ctd,50.1,-145.05
1969-004-0096.ctd,50.14167,-145.0
1969-004-0097.ctd,49.98333,-145.0
1969-004-0098.ctd,50.025,-145.0483
1969-004-0099.ctd,50.05833,-145.05
1969-004-0100.ctd,50.07,-145.075
1969-004-0101.ctd,49.99166,-145.1083
1969-004-0102.ctd,50.04167,-145.1
1969-004-0103.ctd,50.06667,-145.1
1969-004-0104.ctd,50.08333,-145.0833
1969-004-0105.ctd,50.03333,-145.0417
1969-004-0106.ctd,50.055,-145.0317
1969-004-0107.ctd,50.06667,-145.0167
1969-004-0108.ctd,50.105,-145.025
1969-004-0109.ctd,50.00834,-145.025
1969-004-0110.ctd,50.08333,-145.0333
1969-004-0111.ctd,49.96667,-145.0167
1969-004-0112.ctd,49.95,-145.0
1969-004-0113.ctd,49.98333,-145.0333
1969-004-0114.ctd,49.98333,-145.1167
1969-004-0115.ctd,50.00834,-145.0583
1969-004-0116.ctd,50.04167,-145.025
1969-004-0117.ctd,49.95833,-145.0917
1969-004-0118.ctd,49.93333,-145.0917
1969-004-0119.ctd,49.93333,-145.0667
1969-004-0120.ctd,49.98333,-145.0833
1969-004-0121.ctd,50.03333,-145.0833
1969-004-0122.ctd,49.98333,-145.05
1969-004-0123.ctd,50.0,-145.05
1969-004-0124.ctd,50.06667,-145.05
1969-004-0126.ctd,50.05833,-145.0083
1969-004-0127.ctd,49.98333,-144.95
1969-004-0128.ctd,50.0,-145.0167
1969-004-0129.ctd,50.0,-145.0667
1969-004-0130.ctd,49.96667,-145.1167
1969-004-0131.ctd,50.18,-145.1333
1969-004-0132.ctd,50.02167,-145.075
1969-004-0133.ctd,49.96667,-145.0
1969-004-0134.ctd,50.05,-144.9667
1969-004-0135.ctd,50.06667,-144.9667
1969-004-0136.ctd,50.11666,-145.0167
1969-004-0137.ctd,50.03333,-145.1167
1969-004-0138.ctd,50.01667,-145.0667
1969-004-0139.ctd,50.07,-145.0667
1969-004-0141.ctd,50.05,-145.0667
1969-004-0142.ctd,50.03333,-144.95
1969-004-0143.ctd,50.03333,-144.95
1969-004-0144.ctd,50.08333,-144.9333
1969-004-0145.ctd,50.11666,-144.9
1969-004-0146.ctd,50.06667,-144.9667
1969-004-0147.ctd,50.08,-145.0333
1969-004-0149.ctd,49.95833,-145.0917
1969-004-0150.ctd,50.05833,-145.0917
1969-004-0151.ctd,50.08333,-145.1167
1969-004-0152.ctd,50.08333,-145.0833
1969-004-0154.ctd,49.96667,-144.9333
1969-004-0156.ctd,49.99166,-145.0083
1969-004-0157.ctd,49.95833,-144.9833
1969-004-0158.ctd,49.85,-142.6333
1969-004-0159.ctd,49.69167,-140.6667
1969-004-0160.ctd,49.53333,-138.6667
1969-004-0161.ctd,49.43333,-136.6667
1969-004-0163.ctd,49.3,-134.6667
1969-004-0164.ctd,49.15,-132.6667
1969-004-0165.ctd,49.0,-130.6667
1969-004-0166.ctd,48.85,-128.6667
1969-004-0168.ctd,48.76667,-127.6667
1969-004-0169.ctd,48.7,-126.6667
1969-004-0170.ctd,48.63334,-126.0
1969-004-0171.ctd,48.54667,-125.5333
1969-005-0004.ctd,48.78333,-127.6667
1969-005-0005.ctd,48.85,-128.6667
1969-005-0006.ctd,49.0,-130.6667
1969-005-0007.ctd,49.15,-132.6667
1969-005-0008.ctd,49.28333,-134.6667
1969-005-0010.ctd,49.43333,-136.6667
1969-005-0011.ctd,49.5,-138.6667
1969-005-0012.ctd,49.7,-140.6667
1969-005-0013.ctd,49.81667,-142.6667
1969-005-0015.ctd,50.0,-145.0
1969-005-0016.ctd,50.0,-145.0
1969-005-0017.ctd,50.0,-145.0
1969-005-0018.ctd,50.0,-145.0
1969-005-0020.ctd,50.0,-145.0
1969-005-0021.ctd,50.0,-145.0
1969-005-0022.ctd,50.0,-145.0
1969-005-0023.ctd,50.0,-145.0
1969-005-0024.ctd,50.0,-145.0
1969-005-0025.ctd,50.0,-145.0333
1969-005-0027.ctd,50.0,-145.0
1969-005-0028.ctd,50.0,-145.0
1969-005-0029.ctd,50.0,-143.9
